BNA1	 627,498 	 5,001,574 	 $0.15 	 1.99 
CAE1	 756,061 	 12,058,376 	 $0.31 	 3.99 
ABE2	 727,923 	 13,643,601 	 $0.36 	 4.69 
LAS2	 126,823 	 3,162,763 	 $0.48 	 6.23 
LEX1	 494,972 	 12,359,906 	 $0.48 	 6.24 
SEA6	 16,718 	 887,435 	 $1.02 	 13.27 
RNO1	 683,082 	 8,190,763 	 $0.23 	 3.00 
SDF1	 545,818 	 9,286,565 	 $0.33 	 4.25 
PHL1	 133,488 	 4,166,272 	 $0.60 	 7.80 
PHL3	 29,799 	 458,091 	 $0.30 	 3.84 
PHX3	 567,165 	 8,738,068 	 $0.30 	 3.85 
IND1	 1,173,568 	 14,749,458 	 $0.24 	 3.14 
TUL1	 657,395 	 7,787,979 	 $0.23 	 2.96 
PHX6	 1,170,387 	 17,574,450 	 $0.29 	 3.75 
BOS1	 18,994 	 947,997 	 $0.96 	 12.48 
BWI1	 22,027 	 1,345,729 	 $1.17 	 15.27 
CHA1	 1,260,271 	 14,162,935 	 $0.22 	 2.81 
BFI1	 1,031,284 	 4,480,124 	 $0.08 	 1.09 
IND5	 2,040,368 	 6,101,337 	 $0.06 	 0.75 
IND2	 1,871,568 	 5,897,410 	 $0.06 	 0.79 
CHA2	 2,542,661 	 6,838,651 	 $0.05 	 0.67 
IND4	 1,446,483 	 6,355,877 	 $0.08 	 1.10 
PHX5	 1,669,156 	 6,941,272 	 $0.08 	 1.04 
PHL4	 948,249 	 3,052,358 	 $0.06 	 0.80 
PHL5	 1,699,805 	 4,449,015 	 $0.05 	 0.65 
PHL6	 2,081,641 	 6,095,004 	 $0.06 	 0.73 
PHX7	 2,836,050 	 8,229,310 	 $0.06 	 0.73 
CVG2	 930,630 	 3,229,380 	 $0.07 	 0.87 
LEX2	 172,073 	 3,168,499 	 $0.35 	 4.60 
AVP1	 444,532 	 6,954,769 	 $0.30 	 3.91 
CVG3	 334,721 	 4,171,162 	 $0.24 	 3.12 
ABE3	 223,825 	 3,605,301 	 $0.31 	 4.03 
IND3	 87,890 	 337,480 	 $0.07 	 0.96 
CVG1	 1,005,764 	 7,073,813 	 $0.14 	 1.76 
SDF2	 7,021 	 298,620 	 $0.82 	 10.63 
