Week-0: 1.108160018920898	 Week-1: 1.439849972724915	 Week-2: 1.641209959983826
Week-3: 1.970049977302551	 Week-4: 2.362649917602539	 Week-5: 2.517460107803345
Week-6: 2.712739944458008	 Week-7: 2.924220085144043	 Week-8: 3.166049957275391
Week-9: 3.417999982833862	 Week-10: 3.631500005722046	 Week-11: 3.821719884872437
Week-12: 3.303459882736206	 Week-13: 4.006380081176758	 Week-14: 5.762499809265137
Week-15: 9.917349815368652	 Week-16: 25.986799240112305	 Week-17: 53.01570129394531
Week-18: 58.66469955444336	 Week-19: 28.304800033569336	 Week-20: 8.467450141906738
Week-21: 2.86761999130249	 Week-22: 1.359629988670349	 Week-23: 1.027469992637634
Week-24: 1.164559960365295	 Week-25: 1.424389958381653	 Week-26: 1.628530025482178
Week-27: 1.667969942092896	 Week-28: 1.605340003967285	 Week-29: 1.558940052986145
Week-30: 1.556620001792908	 Week-31: 1.577499985694885	 Week-32: 1.598379969596863
Week-33: 3.7	 Week-34: 3.584	 Week-35: 3.534
Week-36: 3.445	 Week-37: 3.297	 Week-38: 3.184
Week-39: 3.13	 Week-40: 3.074	 Week-41: 3.153
Week-42: 3.137	 Week-43: 3.125	 Week-44: 3.364
Week-45: 3.464	 Week-46: 3.454	 Week-47: 3.389
Week-48: 3.466	 Week-49: 3.593	 Week-50: 3.719
Week-51: 0.0
