Week-0: 6.882004793250065	 Week-1: 6.831152220650592	 Week-2: 6.73902550150668
Week-3: 9.122119139896036	 Week-4: 5.438561252812889	 Week-5: 6.025002063515849
Week-6: 5.97486359235409	 Week-7: 5.818664504597521	 Week-8: 5.968363705557749
Week-9: 6.240531494924497	 Week-10: 7.029352655837045	 Week-11: 6.628755184071807
Week-12: 7.896774638447042	 Week-13: 10.216533307914702	 Week-14: 9.544344730294398
Week-15: 11.707692098390766	 Week-16: 20.066732297429198	 Week-17: 21.07407293163112
Week-18: 29.51934021430921	 Week-19: 18.409997868747013	 Week-20: 31.17082954614952
Week-21: 12.826571167287767	 Week-22: 4.421490438786378	 Week-23: 3.63851626912583
Week-24: 4.028311953995967	 Week-25: 3.626831938321175	 Week-26: 3.709640301264415
Week-27: 3.828214225436625	 Week-28: 3.501010768685546	 Week-29: 3.450826088028578
Week-30: 3.543674300112002	 Week-31: 3.870641544227794	 Week-32: 0.0
Week-33: 6.423	 Week-34: 6.25	 Week-35: 6.26
Week-36: 6.204	 Week-37: 5.763	 Week-38: 5.68
Week-39: 5.605	 Week-40: 5.573	 Week-41: 5.783
Week-42: 5.888	 Week-43: 6.069	 Week-44: 6.442
Week-45: 6.659	 Week-46: 6.809	 Week-47: 6.882
Week-48: 7.201	 Week-49: 7.455	 Week-50: 7.545
Week-51: 0.0
