2014-09-01 	9:15 	18:35 	弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-02 	9:20 	18:44 	弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-03 	9:16 	18:52 	弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-04 	9:16 	18:29 	弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-05 	9:09 	16:51 	弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-06 			弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-07 			弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-08 			弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-09 	9:30 	18:36 	弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-10 	9:16 	18:30 	弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-11 	9:24 	18:08 	弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-12 	9:15 	18:04 	弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-13 			弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-14 			弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-15 	9:31 	17:34 	弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-16 	9:20 	18:31 	弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-17 	9:16 	18:16 	弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-18 	9:20 	18:33 	弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-19 	9:15 	18:46 	弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-20 			弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-21 			弹性工时 	弹性工时-按日 	2 	09:00-18:00
2014-09-22
