count(distinct asin),gl,iog
1,15,1
1,27,1
2,353,1
2,396,1
4,424,1
4,446,1
4,74,1
5,236,1
7,0,1
7,14,1
11,246,1
50,349,1
81,293,1
154,425,1
203,265,1
247,259,1
331,400,1
462,228,1
4363,65,1
5367,198,1
8162,63,1
12677,364,1
18823,23,1
20151,422,1
20159,421,1
23721,194,1
32512,75,1
32804,107,1
38480,147,1
40353,121,1
41475,325,1
42901,241,1
44575,267,1
54895,21,1
56201,229,1
61543,86,1
69759,197,1
78403,199,1
101949,79,1
267237,201,1
286668,60,1
300351,263,1
348252,328,1
464621,193,1
569513,200,1
899154,309,1
