count(distinct asin),gl,iog
1777825,14,1
321771,15,1
73022,74,1
26469,0,1
20131,309,1
10149,21,1
6377,201,1
6009,121,1
5894,193,1
3408,194,1
3407,147,1
3188,229,1
3185,60,1
3064,79,1
2743,27,1
2523,200,1
1637,263,1
1624,236,1
1578,75,1
1405,325,1
1341,23,1
1322,86,1
1304,199,1
1113,364,1
1033,241,1
1019,198,1
978,107,1
781,421,1
773,63,1
608,267,1
463,422,1
375,65,1
339,197,1
174,328,1
59,400,1
19,265,1
19,340,1
15,153,1
14,259,1
11,111,1
7,251,1
7,307,1
6,129,1
4,196,1
4,293,1
2,351,1
1,160,1
1,195,1
1,318,1
1,360,1
1,370,1
1,396,1
