count(distinct asin),gl,iog
1,15,1
1,27,1
2,353,1
2,396,1
4,424,1
4,446,1
4,74,1
5,236,1
7,14,1
8,0,1
11,246,1
50,349,1
81,293,1
154,425,1
203,265,1
247,259,1
331,400,1
462,228,1
4389,65,1
5367,198,1
8167,63,1
12677,364,1
18825,23,1
20154,422,1
20162,421,1
23721,194,1
32512,75,1
32837,107,1
38502,147,1
40356,121,1
41475,325,1
42901,241,1
44575,267,1
54898,21,1
56213,229,1
61545,86,1
69763,197,1
78403,199,1
101950,79,1
267239,201,1
286703,60,1
300353,263,1
348254,328,1
464627,193,1
569514,200,1
899154,309,1
